AÑO,FACULTAD,SEDE,NÚMERO DE PARTICIPANTES EN EL ENCUENTRO,TOTAL DE EGRESADOS A LA FECHA DEL ENCUENTRO,PORCENTAJE DE PARTICIPANTES,FECHA DEL ENCUENTRO
2014,Institucional,Tunja,120,15370,1%,octubre de 2014
2015,N/A,Tunja,0,0,0%,N/A
2016,Institucional,Tunja,505,16357,3%,08 de abril de 2016
2016,Institucional,Yopal,115,16786,1%,21 de octubre de 2016
2017,Institucional,Tunja,205,17000,1%,25 de agosto de 2017
2018,Institucional,Todas,456,17560,3%,8 de septiembre de 2018
2018,Sede Sogamoso,Sogamoso,205,416,49%,8 de noviembre de 2018
2019,Institucional,Tunja,400,18108,2%,20 de septiembre de 2019
2020,N/A,Tunja,0,0,0%,N/A
202110,N/A,Tunja,0,0,0%,N/A
202110,N/A,Sogamoso,0,0,0%,N/A
202110,N/A,Yopal,0,0,0%,N/A
202120,Encuentro Institucional de Egresados,Tunja,200,21356,0%,22 de septiembre de 2021
202120,N/A,Sogamoso,0,0,0%,N/A
202120,N/A,Yopal,0,0,0%,N/A