Año y período,MOVILIDAD ESTUDIANTES SALIENTE TUNJA,MES - TUNJA,MES - CHIQUINQUIRÁ,MES - SOGAMOSO,MES - TOTAL,MOVILIDAD ESTUDIANTES ENTRATE TUNJA,MEE - TUNJA,MEE - SOGAMOSO,MEE - No. visitantes internacionales,MEE - total de estudiantes visitantes, OTRA MOVILIDAD ENTRANTE - ASISTENTES DE IDIOMAS TUNJA,Extranjeros,TOTAL EXTRANJEROS ENTRANTES,TOTAL
20141,0,18,0,1,19,0,25,0,25,25,1,0,26,0
20142,0,24,0,3,27,0,24,0,24,24,1,0,25,51
20151,0,34,0,0,34,0,34,0,34,34,1,0,35,0
20152,0,23,0,1,24,0,23,0,23,23,0,0,23,58
20161,2,38,0,0,40,0,23,0,23,23,0,0,23,0
20162,0,36,4,0,40,0,40,0,40,40,0,0,40,63
20171,0,42,0,0,42,0,40,0,40,40,0,1,41,0
20172,0,40,1,4,45,3,42,0,42,45,3,1,46,87
20181,3,32,2,3,40,1,47,0,47,48,3,1,51,0
20182,4,50,1,2,57,1,38,0,38,39,0,0,38,89
20191,2,16,2,4,24,3,39,0,39,42,1,1,41,0
20192,9,32,0,3,44,3,41,1,42,45,4,0,46,87
20201,2,44,0,3,49,0,51,0,51,51,0,0,51,0
20202,3,2,0,5,10,0,10,0,10,10,0,0,10,61
20211,6,23,4,0,33,1,37,0,37,38,0,0,37,0
20212,1,10,0,0,11,0,25,0,25,25,1,0,26,63
20221,1,9,0,0,10,0,6,0,6,6,0,0,6,0