AÑO/PERIODO,NOMBRE DE LOS MEDIOS DE DIVULGACIÓN,LUGAR DE DIVULGACIÓN,PROPÓSITO DEL MEDIO UTILIZADO,NÚMERO APROX. DE PERSONAS INFORMADAS
2014,Encuentros Universitarios,"Tunja, Sogamoso, Duitama, Zipaquirá, La Vega, Ibagué, Soatá, Sutamarchán, Cómbita, Bogotá","Llevar información de becas, incentivos y oferta académica a estudiantes de grado 11 ",16600
2014,Cubrimientos de ciudad,"Paipa, Chiquinquirá, Yopal, Maní, Sabanagrande, Nunchía, Paz de Ariporo, Tauramena, Trinidad, Sogamoso","Con talleres prácticos, mostrar las posibilidades de desempeño y acción de cada profesión, a los estudiantes de grado 11",4834
2014,Boletín Informativo - 7 ediciones,"Sedes de Tunja, Sogamoso, Yopal, oficina de Bogotá y Oficina de Chiquinquirá","Informar a la comunidad de eventos, actividades, acuerdos, aspectos legales, matrículas, noticias y todo lo relacionado con aspectos administrativos y académicos de la Institución",3000
2014,Peródico Antena Universitaria,"Ministerio de Educación, Presidencia, Red de Bibliotecas, Tunja, Sogamoso, Duitama, Paipa, Bogotá, Yopal, Chiquinquirá",Informar  y entretener con artículos especializados,2500
2014,Pantallas Informativas,Tunja,Informar y Sensibilizar,3000
2015,Encuentros Universitarios,"Tunja, Sogamoso, Duitama, Zipaquirá, La Vega, Ibagué, Soatá, Sutamarchán, Cómbita, Bogotá","Llevar información de becas, incentivos y oferta académica a estudiantes de grado 11 ",106160
2015,Cubrimientos de ciudad,"Paipa, Chiquinquirá, Yopal, Maní, Sabanagrande, Nunchía, Paz de Ariporo, Tauramena, Trinidad, Sogamoso","Con talleres prácticos, mostrar las posibilidades de desempeño y acción de cada profesión, a los estudiantes de grado 11",6580
2015,Boletín Informativo - 11 ediciones,"Sedes de Tunja, Sogamoso, Yopal, oficina de Bogotá y Oficina de Chiquinquirá","Informar a la comunidad de eventos, actividades, acuerdos, aspectos legales, matrículas, noticias y todo lo relacionado con aspectos administrativos y académicos de la Institución",4000
2015,Peródico Antena Universitaria,"Ministerio de Educación, Presidencia, Red de Bibliotecas, Tunja, Sogamoso, Duitama, Paipa, Bogotá, Yopal, Chiquinquirá",Informar  y entretener con artículos especializados,2500
2015,Pantallas Informativas,Tunja y Sogamoso,Informar y Sensibilizar,4000
2016,Encuentros Universitarios,"Tunja, Sogamoso, Duitama, Zipaquirá, Sopó, Ibagué, Soatá, Sutamarchán, Cómbita, Mosquera, Villa Pinzón, Sora, Villa de Leyva, Villavicencio, Neiva, Chíquiza, Guayatá, Guateque","Llevar información de becas, incentivos y oferta académica a estudiantes de grado 11 ",121938
2016,Cubrimientos de ciudad,"Paipa, Chiquinquirá, Yopal, Maní, Sabanagrande, Nunchía, Paz de Ariporo, San Luis de Palenque, HatoCorozal, Monterrey, Tauramena, Trinidad, Sogamoso","Con talleres prácticos, mostrar las posibilidades de desempeño y acción de cada profesión, a los estudiantes de grado 11",7020
2016,Boletín Informativo - 10 ediciones,"Sedes de Tunja, Sogamoso, Yopal, oficina de Bogotá y Oficina de Chiquinquirá","Informar a la comunidad de eventos, actividades, acuerdos, aspectos legales, matrículas, noticias y todo lo relacionado con aspectos administrativos y académicos de la Institución",5000
2016,Peródico Antena Universitaria,"Ministerio de Educación, Presidencia, Red de Bibliotecas, Tunja, Sogamoso, Duitama, Paipa, Bogotá, Yopal, Chiquinquirá",Informar  y entretener con artículos especializados,2500
2016,Pantallas Informativas,Tunja y Sogamoso,Informar y Sensibilizar,6000
2017,Encuentros Universitarios,"Tunja, Sogamoso, Duitama, Zipaquirá, Sopó, Ibagué, Soatá, Sutamarchán, Cómbita, Mosquera, Villa Pinzón, Sora, Villa de Leyva, Neiva, Chíquiza, Guayatá.","Llevar información de becas, incentivos y oferta académica a estudiantes de grado 11 ",28425
2017,Cubrimientos de ciudad,"Paipa, Chiquinquirá, Yopal, Maní, Sabanagrande, Nunchía, Paz de Ariporo, San Luis de Palenque, HatoCorozal, Monterrey, Tauramena, Trinidad, Sogamoso","Con talleres prácticos, mostrar las posibilidades de desempeño y acción de cada profesión, a los estudiantes de grado 11",16321
2017,Boletín Informativo - 10 ediciones,"Sedes de Tunja, Sogamoso, Yopal, oficina de Bogotá y Oficina de Chiquinquirá","Informar a la comunidad de eventos, actividades, acuerdos, aspectos legales, matrículas, noticias y todo lo relacionado con aspectos administrativos y académicos de la Institución",7000
2017,Peródico Antena Universitaria - 3 ediciones,"Ministerio de Educación, Presidencia, Red de Bibliotecas, Tunja, Sogamoso, Duitama, Paipa, Bogotá, Yopal, Chiquinquirá",Informar  y entretener con artículos especializados,2500
2017,Pantallas Informativas,Tunja y Sogamoso,Informar y Sensibilizar,7000
2018,Encuentros Universitarios,"Sopó, Sogamoso, Pajarito, Arauquita","Llevar información de becas, incentivos y oferta académica a estudiantes de grado 11 ",4920
2018,Cubrimientos de ciudad,"Chiquinquirá, Paipa, Duitama","Con talleres prácticos, mostrar las posibilidades de desempeño y acción de cada profesión, a los estudiantes de grado 11",4055
2018,Boletín Informativo - 4 ediciones,"Sedes de Tunja, Sogamoso, Yopal, oficina de Bogotá y Oficina de Chiquinquirá","Informar a la comunidad de eventos, actividades, acuerdos, aspectos legales, matrículas, noticias y todo lo relacionado con aspectos administrativos y académicos de la Institución",7000
2018,Peródico Antena Universitaria - 2 ediciones,"Ministerio de Educación, Presidencia, Red de Bibliotecas, Tunja, Sogamoso, Duitama, Paipa, Bogotá, Yopal, Chiquinquirá",Informar  y entretener con artículos especializados,3000
2018,Pantallas Informativas,Tunja y Sogamoso,Informar y Sensibilizar,7000
2018,Encuentros Universitarios,"Arauquita, Villapinzón, Tunja, Puente Nacional, Tibaná, 
Mesitas, Tabio, Miraflores, Barbosa, Moniquirá, Chía, 
Simijaca, Cajicá, Cota, Paipa, San Gil,
Villa de Leyva, Ramiriquí, 
Tibasosa, Cómbita,
Bogotá, Chivatá, Fortul, Santana.","Llevar información de becas, incentivos y oferta académica a estudiantes de grado 11 ",111.023
2018,Cubrimientos de ciudad,"Chiquinquirá, Paipa, San Gil, Yopal y Casanare","Con talleres prácticos, mostrar las posibilidades de desempeño y acción de cada profesión, a los estudiantes de grado 11",4371
2018,Boletín Informativo - 6 ediciones,"Sedes Tunja, Sogamoso, Yopal, oficina de Bogotá y Oficina de Chiquinquirá","Informar a la comunidad de eventos, actividades, acuerdos, aspectos legales, matrículas, noticias y todo lo relacionado con aspectos administrativos y académicos de la Institución",18.000
2018,Peródico Antena Universitaria - 2 ediciones,"Ministerio de Educación, Presidencia, Red de Bibliotecas, Tunja, Sogamoso, Chiquinquirá, Duitama, Paipa, Bogotá, Yopal.","Informar y entretener a través de artículos especializados, crónicas, ensayos, noticias, poesías, reflexiones, etc.",4000
2018,Pantallas Informativas,Tunja y Sogamoso,Informar y Sensibilizar,Sin una cifra
2019-1,Encuentros Universitarios,"Sogamoso, Sopó, Tunja, Sutamarchán. ","Llevar información sobre becas, incentivos, programas académicos y servicios de la Universidad a estudiantes de grado 11.",4.490
2019-1,Cubrimientos de ciudad,"Paipa, Duitama, Chiquinquirá.","Con talleres prácticos realizados por docentes de la Universidad a estudiantes de grado 11 en ciudades previamente programadas, mostrar las alternativas de desempeño y campos de acción de cada profesión a los futuros profesionales.",1.635
2019-1,Campus vive la U,Tunja,"A través de una visita personal al campus universitario, los estudiantes de grado 11 de las distintas instituciones educativas participan en  talleres prácticos que los acerca a la profesión de su interés. ",268
2019-1,Boletín Informativo - 3 ediciones,"Tunja, Sogamoso y Yopal","Informar a la comunidad institucional sobre noticias, acuerdos, próximos eventos, aspectos legales, fechas de matrículas y todo aquello relacionado con aspectos administrativos y académicos de la Universidad.",6000
2019-1,Peródico Antena Universitaria - 1 edición,"Tunja, Sogamoso, Yopal, Paipa, Sopó, Duitama, Sutamarchán, Chiquinquirá. ","Informar y entretener a través de artículos especializados, noticias, crónicas, reportajes, ensayos, reflexiones, etc.",8000
2019-1,Redes sociales,Colombia y el mundo,"Informar, socializar y sensibilizar",2'7400.000
2019-1,Pantallas Informativas,Tunja y Sogamoso,"Informar, socializar y sensibilizar",3390
2019-2,Encuentros Universitarios,"Municipios de Boyacá, Santander y Cundinamarca","Llevar información sobre becas, incentivos, programas académicos y servicios de la Universidad a estudiantes de grado 11.",10.400
2019-2,Cubrimientos de ciudad - 4 en total,"Chiquinquirá, San Gil, Yopal y Casanare.","Con talleres prácticos realizados por docentes de la Universidad a estudiantes de grado 11 en ciudades previamente programadas, mostrar las alternativas de desempeño y campos de acción de cada profesión a los futuros profesionales.",6.300
2019-2,Campus vive la U - 22 colegios,Universidad de Boyacá,"A través de una visita personal al campus universitario, los estudiantes de grado 11 de las distintas instituciones educativas participan en  talleres prácticos que los acerca a la profesión de su interés. ",1265
2019-2,Ulular - 10 ediciones,Correo institucional - Universidad de Boyacá,Informar sobre las noticias más destacadas y los próximos eventos por realizarse en la Universidad.,6500
2019-2,Conectados UdB - 19 publicaciones,Redes sociales y correo institucional,"A través de un producto audiovisual, contar historias (testimonios de estudiantes, egresados, docentes, administrativos y directivos de la Universidad) e informar sobre aspectos relevantes para la comunidad en general.",25.880
2019-2,Boletín Informativo - 5 ediciones,"Sedes Tunja, Sogamoso y Yopal. ","Informar a la comunidad institucional sobre noticias, acuerdos, próximos eventos, aspectos legales, fechas de matrículas y todo aquello relacionado con aspectos administrativos y académicos de la Universidad.",5000
2019-2,Peródico Antena Universitaria - 1 edición,"Tunja, Sogamoso, Yopal, Duitama, Chiquinquirá, Paipa, Bogotá.","Informar y entretener a través de artículos especializados, noticias, crónicas, reportajes, ensayos, reflexiones, etc.",6000
2019-2,Redes sociales,Colombia y el mundo,"Informar, socializar y sensibilizar",2'900.000
2020-1,Encuentros Universitarios - 1,Tunja,"Llevar información sobre becas, incentivos, programas académicos y servicios de la Universidad a estudiantes de grado 11.",100
2020-1,Campus vive la U - 7 colegios,Universidad de Boyacá,"A través de una visita personal al campus universitario, los estudiantes de grado 11 de las distintas instituciones educativas participan en  talleres prácticos que los acerca a la profesión de su interés. ",180
2020-1,Ulular - 10 ediciones,Correo institucional - Universidad de Boyacá,Informar sobre las noticias más destacadas y los próximos eventos por realizarse en la Universidad.,5500
2020-1,Conectados UdB - 21 publicaciones,Redes sociales y correo institucional,"A través de un producto audiovisual, contar historias (testimonios de estudiantes, egresados, docentes, administrativos y directivos de la Universidad) e informar sobre aspectos relevantes para la comunidad en general.",27.000
2020-1,Boletín Informativo - 4 ediciones,"Sedes Tunja, Sogamoso y Yopal. ","Informar a la comunidad institucional sobre noticias, acuerdos, próximos eventos, aspectos legales, fechas de matrículas y todo aquello relacionado con aspectos administrativos y académicos de la Universidad.",8000
2020-1,Redes sociales,Colombia y el mundo,"Informar, socializar y sensibilizar",4'000.000
2020-2,Encuentros Universitarios - 11 (virtuales),Plataformas digitales,"Llevar información sobre becas, incentivos, programas académicos y servicios de la Universidad a estudiantes de grado 11.",3.665
2020-2,Campus vive la U - 5 colegios (virtuales),Plataformas digitales,"A través de un recorrido virtual por el campus universitario, los estudiantes de grado 11 de las distintas instituciones educativas participan en  talleres prácticos que los acerca a la profesión de su interés. ",301
2020-2,Ulular - 13 ediciones,Correo institucional - Universidad de Boyacá,Informar sobre las noticias más destacadas y los próximos eventos por realizarse en la Universidad.,7.500
2020-2,Boletín Informativo - 4 ediciones,Correo institucional - Universidad de Boyacá,"Informar a la comunidad institucional sobre noticias, acuerdos, próximos eventos, aspectos legales, fechas de matrículas y todo aquello relacionado con aspectos administrativos y académicos de la Universidad.",6.000
2020-2,Redes sociales,Colombia y el mundo,"Informar, divulgar, sensibilizar",6'000.000
2020-2,Página web - 258 publicaciones,Colombia y el mundo,"Informar, divulgar, sensibilizar",20.000
2021-1,Encuentros Universitarios - 5,Tunja,"Llevar información sobre becas, incentivos, programas académicos y servicios de la Universidad a estudiantes de grado 11.",770
2021-1,Campus vive la U - 13 colegios,Universidad de Boyacá,"A través de un recorrido virtual, los estudiantes de grado 11 de las distintas instituciones educativas participan en  talleres prácticos que los acerca a la profesión de su interés. ",545
2021-1,Conectados UdB - 15 publicaciones,Redes sociales y correo institucional,"A través de un producto audiovisual, contar historias (testimonios de estudiantes, egresados, docentes, administrativos y directivos de la Universidad) e informar sobre aspectos relevantes para la comunidad en general.",19.000
2021-1,Ulular - 12 ediciones,Correo institucional - Universidad de Boyacá,Informar sobre las noticias más destacadas y los próximos eventos por realizarse en la Universidad.,8.000
2021-1,Boletín Informativo - 4 ediciones,"Sedes Tunja, Sogamoso y Yopal. ","Informar a la comunidad institucional sobre noticias, acuerdos, próximos eventos, aspectos legales, fechas de matrículas y todo aquello relacionado con aspectos administrativos y académicos de la Universidad.",6000
2021-1,Redes sociales - 158 publicaciones,Colombia y el mundo,"Informar, socializar y sensibilizar",193.000
2021-1,Página web - 500 publicaciones,Colombia y el mundo,"Informar, divulgar, sensibilizar",216.591